,Total_Population,ZIP,Haz_Waste,Pollution_Burden,Linguistic_Isolation,Poverty,Housing_Burden,Traffic
0,12238,92862,11.075386946728461,33.64116257852022,49.68283130702251,7.772814927463589,39.507301598329825,4013.6589828773426
1,10738,94077,19.803545029003615,23.729596216149517,46.36033646631846,7.116715555411147,8.654825636074303,5001.606547715081
2,10978,90914,11.502644047694448,18.68633698271157,35.921686168960775,13.321748321168805,2.691136269559985,981.8264351605296
3,16497,92207,8.985975936639292,17.51373081661083,41.589636027546256,28.802001345096706,31.707215570362372,1414.5474918129685
4,15833,93213,10.68863983297885,21.90809713289967,53.88273439081445,45.135038531909686,41.69705054789766,492.0596244094114
5,10371,94525,4.733262259867685,27.06910424686436,35.43876314665205,25.591496851620356,42.96554578604716,96.39789245030266
6,9855,91478,6.545576002183802,29.90598819039272,37.64655055562503,18.66132322042433,39.95752052494716,8154.982285427856
7,7798,93832,8.87360199623163,28.177872037861512,55.07485567088618,26.211461825227197,47.382889283666586,-304.8002420946872
8,10603,95615,11.122777744402125,27.76227071111004,47.92559124221415,47.40060853641803,26.14769575493726,1569.1819919407417
9,5774,94478,8.625105875351213,21.342157120681705,56.49864680556586,15.693316382073984,38.7648127322163,467.77718376362543
10,9405,95488,16.53451917031055,15.85845439009755,24.88945417139382,35.93490618465786,35.83390634846776,626.4533070428504
11,14882,94507,4.858941895378503,14.546915645477677,44.228722110559104,6.670713568497234,22.562782780360298,1701.9801197556724
12,7592,94080,10.377623747059804,23.883475618665102,48.80575450727703,9.933654800079786,11.804891043817603,2070.3376470184708
13,7802,94386,1.07785310046568,29.781881107838096,49.28714951597799,9.733120386359973,48.381120111499094,1180.1397335504664
14,6992,93928,12.87228892843065,29.142816394611664,55.27401300382988,17.04643282908601,7.300303615883772,475.52829133845887
15,6130,92701,20.09783731410166,29.99638288047316,42.44526410524598,5.636930157695446,16.503945472396147,2528.5644499756736
16,10939,93846,1.7560216903296613,18.27486153675183,47.11969200786135,10.383842606157657,21.266808573278695,2887.4625803710096
17,7580,90881,8.517007809728876,22.908360891513418,56.56768053350541,26.12746856657926,45.23353630040012,-242.738569780406
18,14740,93842,2.0412062510243745,18.814669764242087,49.11419175829154,17.309746510426194,7.34966943341984,1791.911211354265
